LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,ectopterygoid bone,16,57,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011634,ectopterygoid bone,,,,,,,,,
2,tetrapod frontal bone,125,232,225,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0000209,tetrapod frontal bone,,,,,,,,,
3,jugal bone,144,16,49,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001683,jugal bone,,,,,,,,,
4,lacrimal bone,50,25,91,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001680,lacrimal bone,,,,,,,,,
5,maxilla,255,237,76,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002397,maxilla,,,,,,,,,
6,nasal bone,78,91,207,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001681,nasal bone,,,,,,,,,
7,palatine bone,116,217,69,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001682,palatine bone,,,,,,,,,
8,tetrapod parietal bone,255,164,79,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0004339,vault of skull,Uberon,http://purl.obolibrary.org/obo/UBERON_0000210,tetrapod parietal bone,,,,,,,,,
9,postorbital bone,0,179,92,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011169,postorbital bone,,,,,,,,,
10,prefrontal bone,217,131,33,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0010750,prefrontal bone,,,,,,,,,
11,premaxilla,255,102,184,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002244,premaxilla,,,,,,,,,
12,pterygoid bone,61,219,190,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0010389,pterygoid bone,,,,,,,,,
13,quadrate bone,58,149,252,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001708,jaw skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0006597,quadrate bone,,,,,,,,,
14,septomaxilla bone,255,207,218,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011167,septomaxilla bone,,,,,,,,,
15,squamous part of temporal bone,255,236,179,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001695,squamous part of temporal bone,,,,,,,,,
16,supratemporal bone,219,46,46,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011629,supratemporal bone,,,,,,,,,
17,vomer,167,171,121,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0002396,vomer,,,,,,,,,
18,basioccipital bone,65,36,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0001692,basioccipital bone,,,,,,,,,
19,basisphenoid bone,120,82,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0006428,basisphenoid bone,,,,,,,,,
20,opisthotic,213,155,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0010910,opisthotic,,,,,,,,,
21,otoccipital,101,56,199,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_3000368,otoccipital,,,,,,,,,
22,prootic bone,218,201,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0004746,prootic bone,,,,,,,,,
23,sphenethmoid,204,41,150,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_3000572,sphenethmoid,,,,,,,,,
24,stapes bone,41,95,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_3000050,braincase and auditory apparatus,Uberon,http://purl.obolibrary.org/obo/UBERON_0001687,stapes bone,,,,,,,,,
25,supraoccipital bone,103,87,138,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0004747,supraoccipital bone,,,,,,,,,
26,angular bone,250,170,50,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011079,angular bone,,,,,,,,,
27,articular bone,240,77,115,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001708,jaw skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_2001805,articular bone,,,,,,,,,
28,coronoid bone,236,148,208,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011598,coronoid bone,,,,,,,,,
29,dentary,145,235,120,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0004742,dentary,,,,,,,,,
30,splenial bone,255,249,87,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011635,splenial bone,,,,,,,,,
31,surangular bone,87,197,211,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0010364,dermal skeleton,Uberon,http://purl.obolibrary.org/obo/UBERON_0011636,surangular bone,,,,,,,,,